Kepler_ID,RA,Dec,Period,Transit_Depth,Duration
3101178,287.0468800,38.2316170,59.4037839,123.5,10.041
3101923,287.3226900,38.2797090,82.331756,283.2,8.664
3102000,287.3494600,38.2860410,57.0599992,66168.0,7.463
3102024,287.3560800,38.2122120,13.782522208,248937.0,8.277620000000001
3102309,287.4553200,38.2395900,4.20253859,31.5,5.389
3102384,287.4785200,38.2288400,10.573751447,298.9,1.7259
3103212,287.7590300,38.2815510,3.25424652,82.1,5.378
3103227,287.7645600,38.2947010,225.585245,754.9,11.166
3103473,287.8400000,38.2554890,1.920062587,226.8,1.437
3109550,289.6717500,38.2978710,4.8754765,39.6,1.902
3109930,289.7767000,38.2622800,37.8102649,570.3,8.733000000000001
3109937,289.7782600,38.2627410,37.809539,487.4,7.547
3110177,289.8428600,38.2370490,3.39904814,69.6,2.922
3110937,290.0263100,38.2494580,1.89121656,66.8,5.14
3112129,290.3371900,38.2050090,0.487656278,109.8,1.0129
3113266,290.6394300,38.2846300,0.995861402,4993.8,1.1507
3114167,290.8705100,38.2736280,6.770300385,1304.0,2.0844
3114661,290.9968900,38.2849200,0.444291966,10967.4,2.0792
3114667,290.9972500,38.2826160,0.888584158,412710.0,2.25012
3114811,291.0319200,38.2119600,11.08956602,148.1,6.2877
3115480,291.1932100,38.2446520,3.693702974,25208.0,3.37146
3115833,291.2819500,38.2416690,10.181584004,5741.1,3.5089
3116302,291.3988600,38.2286110,134.96694,68.4,18.43
3116412,291.4235800,38.2165910,12.99204853,270.6,6.0175
3117046,291.5677200,38.2671090,359.1015,496.5,11.461
3117115,291.5823400,38.2996600,485.91276,1368.0,2.42
3118797,291.9509900,38.2517010,66.4159789,2053.2,7.061
3119256,292.0501400,38.2610020,4.14244748,69.9,2.203
3120276,292.2790500,38.2845310,10.26547688,399.6,3.733
3120308,292.2877800,38.2742500,10.26558924,254.6,3.879
3120320,292.2919600,38.2844890,10.265613245,150465.0,5.67553
3120355,292.3012400,38.2670400,78.0998908,656.9,8.422000000000001
3120397,292.3080100,38.2906000,20.5311708,284.6,5.67
3120431,292.3159500,38.2702900,3.341913228,725.3,3.813
3120904,292.4228200,38.2663310,42.9136635,160.6,5.227
3121340,292.5294800,38.2828480,0.723947772,242.7,2.125
3122872,292.8921800,38.2705120,96.81647,164.7,10.227
3122913,292.9016100,38.2970810,11.60653061,771.7,2.194
3122985,292.9189100,38.2066920,0.993488979,24327.0,1.9694
3123418,293.0254500,38.2132610,563.94854,872.9,15.631
3124412,293.2438400,38.2732700,0.948950734,2133.0,4.0245
3124420,293.2453600,38.2721820,0.948951607,458463.0,4.3809
3124598,293.2922700,38.2118000,7.07162308,123.0,2.587
3127817,293.9997300,38.2322690,2.163569702,54518.0,7.60963
3127911,294.0182200,38.2262920,0.542498653,54.9,4.257
3128552,294.1527100,38.2330400,8.678903119999999,540.6,3.5317
3128552,294.1527100,38.2330400,4.02582434,265.3,2.8059
3128552,294.1527100,38.2330400,2.50475282,181.1,2.376
3128552,294.1527100,38.2330400,6.13074243,146.1,2.84
3128793,294.2070000,38.2234500,24.68662378,8052.3,15.168
3129238,294.3035000,38.2030110,2.00870696,53.5,4.87
3130300,294.5255700,38.2046320,5.76573396,248.0,2.924
3130548,294.5769700,38.2655180,0.878855771,269.7,1.1014
3217264,285.8536700,38.3841210,29.19899219,2047.2,5.1227
3217264,285.8536700,38.3841210,160.0191598,1552.8,5.472
3217264,285.8536700,38.3841210,55.3291399,325.7,6.918
3218844,286.4675300,38.3859710,85.112898,513.8,2.503
3218908,286.4904200,38.3749080,18.92537246,640.9,3.9835
3218908,286.4904200,38.3749080,1.475323222,154.9,2.3155
3218908,286.4904200,38.3749080,4.15246118,223.4,2.5755
3219037,286.5404100,38.3326000,10.00506974,143.3,3.481
3219037,286.5404100,38.3326000,5.0395851,70.1,4.556
3219643,286.7614700,38.3435100,24.3367026,551.1,2.539
3219995,286.8920000,38.3185500,18.87058705,588.0,3.4701
3222680,287.8613000,38.3722920,2.31164074,488.7,2.317
3223433,288.1255500,38.3474310,61.083322,227.5,10.396
3228740,289.7424000,38.3731690,0.730956716,27.8,2.097
3228804,289.7611400,38.3535190,0.730947169,248.0,4.396
3228824,289.7648300,38.3523600,0.73093905,451.1,2.8437
3228825,289.7649200,38.3834500,0.73095491,29.6,2.206
3228945,289.7934000,38.3850780,0.730943372,134.7,3.004
3228959,289.7962000,38.3511810,0.73094589,250.2,4.32
3228986,289.8032200,38.3666920,0.730949487,87.3,2.367
3228988,289.8042300,38.3707080,0.73094701,227.7,4.223
3229028,289.8114300,38.3249510,0.730964241,44.0,2.483
3229028,289.8114300,38.3249510,117.684591,134.6,2.219
3229150,289.8428600,38.3096010,18.5084526,758.9,6.596
3229150,289.8428600,38.3096010,44.7055876,471.8,6.262
3230095,290.0831000,38.3984720,7.04716175,150.8,2.693
3230206,290.1071800,38.3744090,7.04715073,282.5,1.434
3230227,290.1125800,38.3998720,7.047106212,69626.0,3.16223
3230491,290.1830400,38.3219410,1500,9592.0,7.109
3230578,290.2036400,38.3749310,6.337614357,1807.4,1.742
3230753,290.2471000,38.3393900,17.7337356,217.3,5.558
3230787,290.2548500,38.3416600,17.734020239,186680.0,7.27595
